,Condition,back1,back2,back3,position_to_turn,card_to_turn,expected_resp
0,LackOfI,blue_back,blue_back,red_back,3,QH,-1
1,Inference,blue_back,blue_back,red_back,1,AS,2
2,NoInf1,blue_back,red_back,blue_back,1,AS,0
3,NoInf2,blue_back,red_back,blue_back,2,QH,0
4,LackOfI,red_back,blue_back,blue_back,1,QH,-1
5,NoInf3,blue_back,blue_back,red_back,2,AS,1
6,NoInf2,blue_back,red_back,blue_back,2,QH,0
7,NoInf1,blue_back,red_back,blue_back,3,AS,0
8,LackOfI,red_back,blue_back,blue_back,1,QH,-1
9,LackOfI,blue_back,blue_back,red_back,3,QH,-1
10,NoInf3,red_back,blue_back,blue_back,2,AS,1
11,NoInf1,blue_back,red_back,blue_back,1,AD,0
12,Inference,red_back,blue_back,blue_back,3,AD,1
13,NoInf3,red_back,blue_back,blue_back,2,AD,2
14,Inference,red_back,blue_back,blue_back,3,AS,2
15,NoInf3,blue_back,blue_back,red_back,2,AD,2
16,NoInf1,blue_back,red_back,blue_back,3,AD,0
17,Inference,blue_back,blue_back,red_back,1,AD,1
